Total Alkaloids,Reducing Sugars,Total Sugars,Total Nitrogen,K,cl,pH,Starch,Neochlorogenic Acid,Chlorogenic Acid,Cryptochlorogenic Acid,Scopoletin,Rutin
3.318586034,16.42014967,18.82126378,2.545942183,1.82603712,5.956573076,4.89,4.616529552,1.410405796,9.390469726,2.262174267,0.355276105,8.210549148
3.879206185,15.33880852,17.36608286,2.586769282,1.932861745,6.599318686,4.775,4.48553416,1.59338831,9.70579424,2.472364573,0.356214181,9.760829996
3.096991091,14.65375418,16.72700835,2.453870419,2.341554676,6.845822568,4.925,3.422613514,1.96214377,10.04659014,3.165082281,0.342231476,8.681249919
2.773186902,15.04632527,17.71960638,2.39602561,2.332298574,7.504687975,5.0625,3.099156327,1.870890151,12.08897591,2.908885178,0.406053238,10.51610306
3.242877883,14.84688133,16.92163796,2.646827346,2.140313232,6.946713716,4.98,3.130892299,1.867245384,11.02716171,2.819430464,0.440744057,9.95547659
3.412447686,17.46734094,20.51484802,2.430726253,2.080442491,3.702682932,4.89,4.285722106,1.741688758,13.09843601,2.64277417,0.215243721,10.52338375
3.573308388,14.39154696,16.69668579,2.647339873,2.170753514,5.742912054,4.91,3.759547651,1.691517826,10.39180943,2.541216484,0.34510553,9.457870873
3.728854338,14.71952453,16.59412001,2.625295076,1.924166389,6.738238058,4.78,4.137172613,1.498559231,10.08012028,2.30517287,0.379377814,9.961915979
3.469220753,15.99651184,17.6851883,2.627948956,1.942396715,7.938298165,4.795,3.985564581,1.480903471,9.218595556,2.401385372,0.514215431,8.230085843
3.403934532,14.56044071,16.96324588,2.473935615,2.30810902,4.320321643,4.825,3.415194263,1.777146844,10.50344746,2.796745578,0.317100219,9.079407269
3.920832346,15.34706053,17.84634676,2.72549865,2.14515478,7.428101769,4.865,3.484112313,1.670730809,10.14638521,2.706170307,0.365254015,9.369298033
3.584512326,16.22430462,18.94200282,2.575705694,2.054197921,5.656448329,4.8,4.869960881,1.485286889,10.26992691,2.271504622,0.271552865,8.657755683
