predictor,component,p,component_sign
852,1,-0.0076186751042552911,-1
853,1,-0.0082294184244860787,-1
854,1,-0.0082249972389561339,-1
855,1,-0.0079821219052111127,-1
856,1,-0.0085040187935998511,-1
857,1,-0.0089295450439787847,-1
858,1,-0.0094705238696777671,-1
859,1,-0.0091937433098179203,-1
860,1,-0.0094214945629081705,-1
861,1,-0.0098770634995011559,-1
862,1,-0.0098144957602152652,-1
863,1,-0.0098763320058941496,-1
864,1,-0.0095073483760688485,-1
865,1,-0.010172804318319252,-1
866,1,-0.010536006145834385,-1
867,1,-0.010442548771357175,-1
868,1,-0.010438075317386991,-1
869,1,-0.010446103781506235,-1
870,1,-0.010419808758223487,-1
871,1,-0.010749047938373118,-1
872,1,-0.010630634437181744,-1
873,1,-0.010511941269322584,-1
874,1,-0.010630167215750224,-1
875,1,-0.010499178449485334,-1
876,1,-0.010773873566487555,-1
877,1,-0.010663102461394101,-1
878,1,-0.010118071429790336,-1
879,1,-0.0099107465453115266,-1
880,1,-0.010332784963208648,-1
881,1,-0.010414877545774874,-1
882,1,-0.010344382892923781,-1
883,1,-0.010084820683735393,-1
884,1,-0.0097590208999478577,-1
885,1,-0.0099755494856743551,-1
886,1,-0.010151502944993835,-1
887,1,-0.0098576771858543931,-1
888,1,-0.010098203212872995,-1
889,1,-0.0096511606654245945,-1
890,1,-0.010075014141215028,-1
891,1,-0.010228777943304195,-1
892,1,-0.0093718879726013907,-1
893,1,-0.0096917001251870544,-1
894,1,-0.0098154904447519172,-1
895,1,-0.0097603362485213958,-1
896,1,-0.0097103904235315043,-1
897,1,-0.0094082426633924372,-1
898,1,-0.0097457531391041269,-1
899,1,-0.0099297606793037618,-1
900,1,-0.0099941139009515657,-1
901,1,-0.0093450344884957477,-1
902,1,-0.0092086066010450222,-1
903,1,-0.0098328918441719666,-1
904,1,-0.00970031375309394,-1
905,1,-0.0092635347387834879,-1
906,1,-0.0095708995013785644,-1
907,1,-0.0095039103054610323,-1
908,1,-0.010005041773921274,-1
909,1,-0.0096003813015046683,-1
910,1,-0.009852177988918881,-1
911,1,-0.0095702260070774647,-1
912,1,-0.0095248655605982557,-1
913,1,-0.0099339918641239196,-1
914,1,-0.0095813762033416898,-1
915,1,-0.0092987870655342683,-1
916,1,-0.0096618767923489814,-1
917,1,-0.0094911993773247362,-1
918,1,-0.0093793891031945641,-1
919,1,-0.0098458422716708027,-1
920,1,-0.0098613331269625081,-1
921,1,-0.0093294887281621837,-1
922,1,-0.0084318046171212475,-1
923,1,-0.0087967108071267588,-1
924,1,-0.0093883707111623617,-1
925,1,-0.0090300012629968077,-1
926,1,-0.0082592011759183206,-1
927,1,-0.0091072151309511649,-1
928,1,-0.008740669610767771,-1
929,1,-0.0090053437044179188,-1
930,1,-0.0086884909920404482,-1
931,1,-0.0088090639335116922,-1
932,1,-0.0084267102131332164,-1
933,1,-0.0083114716589127221,-1
934,1,-0.0086294063262863027,-1
935,1,-0.0081683605524759759,-1
936,1,-0.0077895941645629409,-1
937,1,-0.0074137028432019973,-1
938,1,-0.0072498506644431077,-1
939,1,-0.0079609013559604584,-1
