predictor,component,loading
1028,1,-0.58673815059085666
1029,1,-0.58666507167907367
1030,1,-0.58702051085433149
1031,1,-0.58748917374592147
1032,1,-0.5876008959187905
1033,1,-0.58782870706546198
1034,1,-0.58802832203768873
1035,1,-0.58821889841673514
1036,1,-0.58838501350366346
1037,1,-0.58823807406624495
1038,1,-0.58861430577920637
1039,1,-0.58878061796773751
1040,1,-0.58881818803625674
1041,1,-0.58929229347167333
1042,1,-0.5893753345671453
1043,1,-0.589386808296814
1044,1,-0.58992612376210996
1045,1,-0.59004722123111897
1046,1,-0.59052278492020738
1047,1,-0.59056536102330304
1048,1,-0.59031692668439728
1049,1,-0.59096657804859343
1050,1,-0.59077365328724185
1051,1,-0.59048595470045706
1052,1,-0.59051906781282515
1053,1,-0.59079852811973865
1054,1,-0.59077261581556806
1055,1,-0.59033215614199275
1056,1,-0.59021262448669387
1057,1,-0.5899149442369428
1058,1,-0.58991369739713895
1059,1,-0.5900774419907252
1060,1,-0.58997063594100907
1061,1,-0.58969962878299476
1062,1,-0.58962383710385258
1063,1,-0.58935719487414417
1064,1,-0.58968516449926389
1065,1,-0.58995459279778883
1066,1,-0.58982546246392342
1067,1,-0.58951135439346358
1068,1,-0.58974101999652595
1069,1,-0.5897769562752736
1070,1,-0.58941990068980354
1071,1,-0.5893314179352509
1072,1,-0.58935963299745386
1073,1,-0.58917348059082386
1074,1,-0.58930581343490152
1075,1,-0.58922477074190793
1076,1,-0.58954495749705849
1077,1,-0.5892052073871058
1078,1,-0.589410811796233
1079,1,-0.58969108215979182
1080,1,-0.58997562655142233
1081,1,-0.59002150614403126
1082,1,-0.59022140375114251
1083,1,-0.59004867002697914
1084,1,-0.58964607339899122
1085,1,-0.59007942947502101
1086,1,-0.59026446279296574
1087,1,-0.59015678829972862
1088,1,-0.59013081013958724
1089,1,-0.59022510276305462
1090,1,-0.59047297915463293
1091,1,-0.59091078136986752
1092,1,-0.59065199375912358
1093,1,-0.59059437658405367
1094,1,-0.59065084104855237
1095,1,-0.59074386750823449
1096,1,-0.59070702427470478
1097,1,-0.59076083908309873
1098,1,-0.59087938989663036
1099,1,-0.59097613939521276
1100,1,-0.59133814251702188
1101,1,-0.59115940593561589
1102,1,-0.5914396459239144
1103,1,-0.59168385480263597
1104,1,-0.5912870008515233
1105,1,-0.59132624489093455
1106,1,-0.59063733499639537
1107,1,-0.59097542678135839
1108,1,-0.59045373627917319
1109,1,-0.59050610497680711
1110,1,-0.59033682130509746
1111,1,-0.58983801652447532
1112,1,-0.58921893223104793
1113,1,-0.58850399562511369
1114,1,-0.5880230385647498
1115,1,-0.58738059519055597
1116,1,-0.5865174700224467
1117,1,-0.58549434990889826
1118,1,-0.58500222291114556
1119,1,-0.5833970523496782
1120,1,-0.58175948976962277
1121,1,-0.5807173159982576
1122,1,-0.57887437093136584
1123,1,-0.57770432852506592
1124,1,-0.5766643927088827
1125,1,-0.57532183859592745
1126,1,-0.57385624360920018
1127,1,-0.57145232916721833
1128,1,-0.57041324094108647
1129,1,-0.56910553712579226
1130,1,-0.56798876052066272
1131,1,-0.5664989318346817
1132,1,-0.56547088566914905
1133,1,-0.56466350324276104
1134,1,-0.56397751144575081
1135,1,-0.5630608515506409
1136,1,-0.56194065780400448
1137,1,-0.5619563833438338
1138,1,-0.56204058568502102
1139,1,-0.56156942879157701
1140,1,-0.56166455609691568
1141,1,-0.56156417157740335
1142,1,-0.56118932861834592
1143,1,-0.56121690757106357
1144,1,-0.56088297991592362
1145,1,-0.56083606184059476
1146,1,-0.56061307117387837
1147,1,-0.55959163786848531
1148,1,-0.55923523903742312
1149,1,-0.55857262412544151
1150,1,-0.55745634418909751
1151,1,-0.5569809590465804
1152,1,-0.55629258797198555
1153,1,-0.55466478135161135
1154,1,-0.55388402443920459
1155,1,-0.5532847150040997
1156,1,-0.55150066922389707
1157,1,-0.55065660780611769
1158,1,-0.55020969580729762
1159,1,-0.54914650971741397
1160,1,-0.54887693451933517
1161,1,-0.54792632842517353
1162,1,-0.54718112040969313
1163,1,-0.54656067772341421
1164,1,-0.54541245288679419
1165,1,-0.54530336823984815
1166,1,-0.54481941858028937
1167,1,-0.54403199338569386
1168,1,-0.54375924113421614
1169,1,-0.54324264018871937
1170,1,-0.54248869113863984
1171,1,-0.54159136123999463
1172,1,-0.5412696329582537
1173,1,-0.54046981767701308
1174,1,-0.54006916116944403
1175,1,-0.53939717724146019
1176,1,-0.53855550319054768
1177,1,-0.5380120280314088
1178,1,-0.53762105365574642
1179,1,-0.53683426473745277
1180,1,-0.53580720513870006
1181,1,-0.53430097142840238
1182,1,-0.53362191231335576
1183,1,-0.53203995493029899
1184,1,-0.53069620406096263
1185,1,-0.5291667346357507
1186,1,-0.52748444195952537
1187,1,-0.52586675127779681
1188,1,-0.52447153819778336
1189,1,-0.52234467094121195
1190,1,-0.52096058098745746
1191,1,-0.51908913611025709
1192,1,-0.51725799417866536
1193,1,-0.51539041296901511
1194,1,-0.51399415261116155
1195,1,-0.51236048662960887
1196,1,-0.51056247577560121
1197,1,-0.50932847481039101
1198,1,-0.50744897895909624
1199,1,-0.50625598170902664
1200,1,-0.50427807046810269
1201,1,-0.50326130178375217
1202,1,-0.501584829419781
1203,1,-0.50033843938833211
1204,1,-0.49915695308664609
1205,1,-0.49808857735671286
1206,1,-0.49705070284754332
1207,1,-0.49563668125042493
1208,1,-0.4945094108353717
1209,1,-0.49303372770036974
1210,1,-0.49188682604737854
1211,1,-0.49057587090671634
1212,1,-0.48958807301537588
1213,1,-0.48771631184362596
1214,1,-0.48697544419888211
1215,1,-0.48560918591890234
1216,1,-0.4842145291127265
1217,1,-0.48298378598982666
1218,1,-0.48220019090371308
1219,1,-0.48083715616458511
1220,1,-0.47959953793061771
1221,1,-0.4785709458689163
1222,1,-0.4778196595503354
1223,1,-0.4766312380802466
1224,1,-0.47597093510638633
1225,1,-0.47468016702375498
1226,1,-0.47437691429570211
1227,1,-0.47422187154493817
1228,1,-0.47367609596746935
1229,1,-0.47387989938992314
1230,1,-0.47408732397217451
1231,1,-0.47384667782277401
1232,1,-0.47440283755156454
1233,1,-0.474671569650852
1234,1,-0.47560894444215529
1235,1,-0.47559099086494566
1236,1,-0.47675221032773052
1237,1,-0.47789522497390585
1238,1,-0.47949249562917523
1239,1,-0.48053571538218381
1240,1,-0.48187257671456074
1241,1,-0.48307663999741396
1242,1,-0.48367822222316087
1243,1,-0.48522940820220145
1244,1,-0.48645795577092116
1245,1,-0.48736901334526206
1246,1,-0.48864545311147889
1247,1,-0.48907472932948148
1248,1,-0.49044429529829681
1249,1,-0.49139165107219579
1250,1,-0.49250637731193747
1251,1,-0.4930498852184339
1252,1,-0.49427741973809852
1253,1,-0.49489054141071559
1254,1,-0.49591064806347596
1255,1,-0.49654123367627562
1256,1,-0.49782092919638293
1257,1,-0.49822749946353584
1258,1,-0.49942414483759512
1259,1,-0.4998464219708485
1260,1,-0.50076705737588778
1261,1,-0.50199271794365086
