response,component,loading
TS,1,-0.20296267135201129
CP,1,-0.58938147358784065
ADF,1,0.64607832760285377
IVOMD,1,-0.46634578160449319
TS,2,0.54388284382095087
CP,2,-0.73097350308535169
ADF,2,-0.21158200209816805
IVOMD,2,0.36475441086199378
