sample,component,score
1,1,-0.069672507820558296
2,1,-0.19448682413933654
3,1,-0.029788459667937788
4,1,-0.064548559777079378
5,1,-0.23373874193875374
6,1,-0.17125750436611117
7,1,-0.43913388278315918
8,1,-0.43959225986762474
9,1,-0.52115844253046129
10,1,-0.016335810891657542
11,1,-0.20302417399863698
12,1,-0.093628489350560534
13,1,0.3124561012901732
14,1,-0.17825483552907281
15,1,0.12477755801226474
16,1,-0.14328323766968731
17,1,-0.21255881636005955
18,1,0.0028127565370968679
19,1,-0.19690623004359473
20,1,1.0137896470528627
21,1,1.0381640464744337
22,1,1.0409098997610595
23,1,0.76531474873348704
24,1,1.0003441889688161
25,1,0.14759676901362015
26,1,0.27601184076104257
27,1,-0.023896592319942636
28,1,0.21748455846695977
29,1,-0.044551392961298314
30,1,-0.76198201064192073
31,1,-0.91320591680213747
32,1,-0.28556654970174306
33,1,-0.33536933550926834
34,1,-1.4260208170946203
35,1,0.92593524167706986
36,1,0.70499574469548332
37,1,0.90093378714239736
38,1,0.76068558333661329
39,1,-0.29077547807774062
40,1,-0.33266817613629612
41,1,-0.26399892216079268
42,1,0.47383865705469835
43,1,0.053697609082328984
44,1,-0.062766505629377203
45,1,-0.87115069975857173
46,1,-0.94042756453255216
1,2,1.0179415693992147
2,2,1.622381644458941
3,2,1.2575995438284902
4,2,1.9243684412681532
5,2,1.5565299578831091
6,2,1.3121398347446356
7,2,1.5431212867240256
8,2,1.2944375198206406
9,2,1.5782825438186225
10,2,-1.0674045563882413
11,2,-2.8228032178985112
12,2,-2.5908367201428568
13,2,-0.70391406244165966
14,2,0.50577273615791052
15,2,-0.62149703813283808
16,2,-2.1004542621571196
17,2,-2.1255765773550834
18,2,0.83185246912251198
19,2,2.1808483847540718
20,2,-1.0416553058777303
21,2,-0.49503102944674149
22,2,-0.80712568625755066
23,2,-0.66706076112260404
24,2,-0.64385359502781714
25,2,-0.54688300076290353
26,2,-0.97124396920186562
27,2,-1.0013396901051295
28,2,-0.82377573664915071
29,2,-0.77388636976064118
30,2,-0.1916972758363012
31,2,-0.026404104200117001
32,2,0.18020523179374714
33,2,-0.019699470104617992
34,2,0.15129691375522472
35,2,-0.63953660555625202
36,2,-1.2482809376106365
37,2,-0.86316557449456421
38,2,-0.76548617060321245
39,2,0.9500647117851051
40,2,0.67644648874272062
41,2,0.76855715800935009
42,2,0.36572336063388872
43,2,0.62574830350113742
44,2,0.73138083161183387
45,2,1.4165960424939503
46,2,1.0673167428268377
1,3,-0.80648752309171146
2,3,-0.71792343664997937
3,3,-1.1863020722305293
4,3,-0.39441015121373335
5,3,-0.45296420032060181
6,3,-0.50309673205915095
7,3,-0.38284762791740395
8,3,-0.86761677665819892
9,3,-0.6208565883773598
10,3,-1.0098058360764224
11,3,-0.10686376702595557
12,3,-0.45879484028988138
13,3,-0.96407013802774399
14,3,-1.0090103228318859
15,3,-0.74212592530712918
16,3,-0.85691159447240495
17,3,-0.26964811024855317
18,3,-0.93847469981543907
19,3,-0.44765073689121437
20,3,-0.20007419564298323
21,3,-0.13201144352305511
22,3,-0.12065228545509198
23,3,-0.51040297075046959
24,3,-0.34436173018302324
25,3,0.90664807324757846
26,3,1.2214558069592183
27,3,1.0642758897540763
28,3,0.88473414522322169
29,3,1.2850380317045207
30,3,2.2930254793408698
31,3,2.1389756768198258
32,3,1.5268026235067316
33,3,1.1994149251280695
34,3,2.3986146818492209
35,3,-0.1348687500126908
36,3,0.89058778639549574
37,3,0.6261642676844581
38,3,0.42174333477684978
39,3,-0.23564348155654141
40,3,-0.20669797768920056
41,3,-0.21755218108136837
42,3,-0.77826594718076514
43,3,-0.64659759459425081
44,3,-0.43558669964956359
45,3,-0.050500141201424743
46,3,-0.10840424436446205
