n_components,predictor_rank,predictor_rank_policy,response_standardized_cv_mse_mean,response_standardized_cv_mse_fold_sd,n_splits
1,9,optimized,0.7603660310269282,0.3917336378446858,5
2,10,optimized,0.5927775280710327,0.32414346377194114,5
3,10,optimized,0.33089728549259306,0.15149573509244743,5
4,10,optimized,0.3316579029086913,0.15364573363428924,5
5,10,optimized,0.33388362838766533,0.15224109524720675,5
6,10,optimized,0.3346032521419654,0.1526663559907948,5
7,10,optimized,0.33439096727830225,0.15305469200908084,5
8,10,optimized,0.3338059177275629,0.15244957944622411,5
