predictor,component,p,component_sign
10001.0283203125,1,-0.068836518026090796,-1
9997.17138687565,1,-0.04424890802734234,-1
9993.31445343881,1,-0.040286023019248038,-1
9989.45752000196,1,-0.050144743481573842,-1
9985.60058656511,1,-0.043539657899904674,-1
9981.74365312826,1,-0.0096796972028457603,-1
9977.88671969142,1,0.0049688233063631213,-1
9974.02978625457,1,0.00025240239387610002,-1
9970.17285281772,1,-0.023531616207470893,-1
9966.31591938088,1,0.017584547418597215,-1
9962.45898594403,1,0.061723235388517941,-1
9958.60205250718,1,0.021245434044506729,-1
9954.74511907033,1,0.0041290378747920803,-1
9950.88818563349,1,-0.0039708852424462709,-1
9947.03125219664,1,-0.023946978400121097,-1
9943.17431875979,1,-0.032628846092989841,-1
9939.31738532294,1,-0.044483494441013439,-1
9935.4604518861,1,-0.0093686077090837441,-1
9931.60351844925,1,0.029934112072638436,-1
9927.7465850124,1,0.017787639933010076,-1
9923.88965157556,1,-0.024856813785984172,-1
9920.03271813871,1,-0.01905752889594901,-1
9916.17578470186,1,-0.011444250597718988,-1
9912.31885126501,1,-0.02889302300919849,-1
9908.46191782817,1,-0.029870313758578435,-1
9904.60498439132,1,-0.021039158005541549,-1
9900.74805095447,1,-0.017424101861465879,-1
9896.89111751762,1,-0.041081699458541378,-1
9893.03418408078,1,-0.026959306709161596,-1
9889.17725064393,1,-0.0038445276374803371,-1
9885.32031720708,1,0.022316311420810392,-1
9881.46338377024,1,0.0060472609043456986,-1
9877.60645033339,1,-0.045045450991231265,-1
9873.74951689654,1,-0.023979084820817929,-1
9869.89258345969,1,-0.0033980894193190781,-1
9866.03565002284,1,0.018031631731599326,-1
9862.178716586,1,0.01998693769934104,-1
9858.32178314915,1,-0.0059672821656690123,-1
9854.4648497123,1,-0.0078173466246766916,-1
9850.60791627546,1,-0.024498706110935509,-1
9846.75098283861,1,-0.023113578858523397,-1
9842.89404940176,1,0.029981077841774135,-1
9839.03711596492,1,0.0080617761030588441,-1
9835.18018252807,1,-0.034997450563113548,-1
9831.32324909122,1,0.0017960998332354138,-1
9827.46631565437,1,0.037544120962466225,-1
9823.60938221752,1,-0.011685985937390675,-1
9819.75244878068,1,-0.01394497013053334,-1
9815.89551534383,1,-0.013967069845458977,-1
9812.03858190698,1,-0.026554613813779573,-1
9808.18164847014,1,0.0073847374871195562,-1
9804.32471503329,1,0.033482413775656569,-1
9800.46778159644,1,0.020219161335399739,-1
9796.6108481596,1,-0.010363621609606338,-1
9792.75391472275,1,-0.0035849807559991814,-1
9788.8969812859,1,0.008420578866334379,-1
9785.04004784905,1,0.036646800935650384,-1
9781.1831144122,1,0.048020998699148935,-1
9777.32618097536,1,0.054582880399701432,-1
9773.46924753851,1,0.063564116602508297,-1
9769.61231410166,1,0.058647486294658963,-1
9765.75538066482,1,0.051588109350074275,-1
9761.89844722797,1,0.017080305098872629,-1
9758.04151379112,1,-0.021564100339721514,-1
9754.18458035428,1,-0.0045734866974173225,-1
9750.32764691743,1,0.019492036107614498,-1
9746.47071348058,1,0.017849005833614796,-1
9742.61378004373,1,0.024912240499459424,-1
9738.75684660688,1,0.02522085081559787,-1
9734.89991317004,1,0.024672079823197645,-1
9731.04297973319,1,0.02262006647596064,-1
9727.18604629634,1,0.010535926012752174,-1
9723.3291128595,1,0.021479393804918062,-1
9719.47217942265,1,0.021882710640024131,-1
9715.6152459858,1,0.003254243159550755,-1
9711.75831254896,1,-0.017786903060518052,-1
9707.90137911211,1,0.0079283406460403365,-1
9704.04444567526,1,0.049589018710643772,-1
9700.18751223841,1,0.072343516090168772,-1
9696.33057880156,1,0.029371414872979205,-1
9692.47364536472,1,-0.0163966575009038,-1
9688.61671192787,1,-0.0033067955322844782,-1
9684.75977849102,1,0.016262403620858526,-1
9680.90284505418,1,-0.011012387734383693,-1
9677.04591161733,1,0.00080934152324413442,-1
9673.18897818048,1,0.015346178202385855,-1
9669.33204474363,1,0.016978358734729963,-1
9665.47511130679,1,0.022999608094176387,-1
9661.61817786994,1,0.027050215394041666,-1
9657.76124443309,1,0.01169868686206936,-1
9653.90431099624,1,0.0043219959532997711,-1
9650.0473775594,1,0.010690824084948539,-1
9646.19044412255,1,0.020727185659603575,-1
9642.3335106857,1,0.021503258226557801,-1
9638.47657724886,1,0.0019315075826739625,-1
9634.61964381201,1,-0.040744754417558378,-1
9630.76271037516,1,-0.044753696605970068,-1
9626.90577693831,1,-0.014980929924814685,-1
9623.04884350147,1,0.016347645646048296,-1
9619.19191006462,1,0.033286030266072658,-1
9615.33497662777,1,0.024956606746285213,-1
9611.47804319092,1,0.016568605919685887,-1
9607.62110975408,1,-0.0025281078797141513,-1
9603.76417631723,1,0.005700267618823948,-1
9599.90724288038,1,-0.0084869218339303828,-1
9596.05030944354,1,-0.0042043839383947438,-1
9592.19337600669,1,0.0050234117729318316,-1
9588.33644256984,1,-0.0088574280494480191,-1
9584.47950913299,1,-0.0068275506922312081,-1
9580.62257569615,1,-0.0010750204364587779,-1
9576.7656422593,1,-0.010910632565578119,-1
9572.90870882245,1,0.0056899104078990291,-1
9569.0517753856,1,-0.013156898509387102,-1
9565.19484194876,1,-0.050277975197648136,-1
9561.33790851191,1,-0.055869640749851276,-1
9557.48097507506,1,-0.039047897224291361,-1
9553.62404163822,1,-0.022880178074888964,-1
9549.76710820137,1,-0.025588624580632643,-1
9545.91017476452,1,-0.040727608873056417,-1
9542.05324132767,1,-0.0013353431413962956,-1
9538.19630789083,1,0.015239844863120603,-1
9534.33937445398,1,-0.017114106022306969,-1
9530.48244101713,1,-0.01486958621172022,-1
9526.62550758028,1,-0.023636371485800976,-1
9522.76857414344,1,-0.04561733899782467,-1
9518.91164070659,1,-0.036588383454240418,-1
9515.05470726974,1,-0.03731370651810393,-1
9511.1977738329,1,-0.037225348671769729,-1
9507.34084039605,1,-0.042248004140527998,-1
9503.4839069592,1,-0.0077852427354390659,-1
9499.62697352235,1,0.016587293353534455,-1
9495.77004008551,1,0.0051601835923102864,-1
9491.91310664866,1,-0.012386479569863409,-1
9488.05617321181,1,-0.0062994729014843433,-1
9484.19923977496,1,-0.0069027036560853116,-1
9480.34230633812,1,-0.00015706307550641309,-1
9476.48537290127,1,0.0049523913447724914,-1
9472.62843946442,1,0.018668730501417336,-1
9468.77150602758,1,0.022239505705583057,-1
9464.91457259073,1,-0.014694515464503668,-1
