response,predictor,coefficient
Total Alkaloids,9075.36429546915,-23.080522909508321
Total Alkaloids,9071.5073620323,-18.392625142859082
Total Alkaloids,9067.65042859546,3.6914469190057817
Total Alkaloids,9063.79349515861,17.802109957597072
Total Alkaloids,9059.93656172176,9.2342744409872211
Total Alkaloids,9056.07962828492,-5.2233605436851951
Total Alkaloids,9052.22269484807,1.2000604266746442
Total Alkaloids,9048.36576141122,2.9936803090716286
Total Alkaloids,9044.50882797437,-8.3580016531239441
Total Alkaloids,9040.65189453753,-15.363257182029763
Total Alkaloids,9036.79496110068,-6.8555841404783724
Total Alkaloids,9032.93802766383,-1.3283721680308493
Total Alkaloids,9029.08109422698,-0.13423766885076011
Total Alkaloids,9025.22416079014,-12.859242308430828
Total Alkaloids,9021.36722735329,-17.942062023279082
Total Alkaloids,9017.51029391644,2.7108193780551675
Total Alkaloids,9013.6533604796,2.9417494992283197
Total Alkaloids,9009.79642704275,-4.087634161421283
Total Alkaloids,9005.9394936059,-1.6872005393624303
Total Alkaloids,9002.08256016905,-1.1513715083322904
Total Alkaloids,8998.22562673221,-1.9907497055075469
Total Alkaloids,8994.36869329536,-0.57415770736792038
Total Alkaloids,8990.51175985851,-4.8889852033717931
Total Alkaloids,8986.65482642166,-4.6212163793772794
Total Alkaloids,8982.79789298482,-5.4874014600121388
Total Alkaloids,8978.94095954797,-0.27481995095212136
Total Alkaloids,8975.08402611112,6.7668811441411734
Total Alkaloids,8971.22709267428,9.5564596328078597
Total Alkaloids,8967.37015923743,1.5292815577148351
Total Alkaloids,8963.51322580058,-5.0638787245551864
Total Alkaloids,8959.65629236373,-4.2829305819436296
Total Alkaloids,8955.79935892689,-1.8196062730742948
Total Alkaloids,8951.94242549004,-5.1349748298816813
Total Alkaloids,8948.08549205319,-1.8314082967173593
Total Alkaloids,8944.22855861634,-0.32370469338970037
Total Alkaloids,8940.3716251795,6.8815292154490315
Total Alkaloids,8936.51469174265,11.414789778194802
Total Alkaloids,8932.6577583058,-0.057148715284003164
Total Alkaloids,8928.80082486896,-11.024543994712147
Total Alkaloids,8924.94389143211,-6.1039728107762556
Total Alkaloids,8921.08695799526,4.4471871347744774
Total Alkaloids,8917.23002455841,2.5629246520828879
Total Alkaloids,8913.37309112157,12.818496396876585
Total Alkaloids,8909.51615768472,16.464881813583155
Total Alkaloids,8905.65922424787,2.6059105814563552
Total Alkaloids,8901.80229081102,3.7964312223228069
Total Alkaloids,8897.94535737418,10.540059790020003
Total Alkaloids,8894.08842393733,7.1913827546675195
Total Alkaloids,8890.23149050048,4.5680788404721575
Total Alkaloids,8886.37455706364,7.1109495588316545
Total Alkaloids,8882.51762362679,9.4175718405610862
Total Alkaloids,8878.66069018994,13.403516607622333
Total Alkaloids,8874.80375675309,23.674848018358198
Total Alkaloids,8870.94682331625,21.637650883318507
Total Alkaloids,8867.0898898794,19.32675985238453
Total Alkaloids,8863.23295644255,13.764687425452687
Total Alkaloids,8859.3760230057,-3.1405640948542755
Total Alkaloids,8855.51908956886,-6.3716111038408592
Total Alkaloids,8851.66215613201,-1.4061856305334022
Total Alkaloids,8847.80522269516,7.5680995043615553
Total Alkaloids,8843.94828925832,2.0366344152978821
Total Alkaloids,8840.09135582147,-9.128908282397818
Total Alkaloids,8836.23442238462,-6.9413034283868873
Total Alkaloids,8832.37748894777,-0.79663059840538875
Total Alkaloids,8828.52055551093,0.98485776631353006
Total Alkaloids,8824.66362207408,-4.6859196548293482
Total Alkaloids,8820.80668863723,-10.736204039677689
Total Alkaloids,8816.94975520038,-9.6974032908121117
Total Alkaloids,8813.09282176354,7.7273375802781725
Total Alkaloids,8809.23588832669,12.264775148264832
Total Alkaloids,8805.37895488984,0.89802734380978011
Total Alkaloids,8801.522021453,-15.5543298863535
Total Alkaloids,8797.66508801615,-13.379733799762095
Total Alkaloids,8793.8081545793,-4.2032783629987298
Total Alkaloids,8789.95122114245,-6.999576028006695
Total Alkaloids,8786.09428770561,-3.4246381934367021
Total Alkaloids,8782.23735426876,7.4160198402277233
Total Alkaloids,8778.38042083191,13.614526691634637
Total Alkaloids,8774.52348739506,15.632591580697547
Total Alkaloids,8770.66655395822,6.2018819734565955
Total Alkaloids,8766.80962052137,-0.36707349059761468
Total Alkaloids,8762.95268708452,-13.503080473381848
Total Alkaloids,8759.09575364767,-7.0969092171474033
Total Alkaloids,8755.23882021083,7.8661241107799595
Total Alkaloids,8751.38188677398,9.1574080914485716
Total Alkaloids,8747.52495333713,-1.1738829759203631
Total Alkaloids,8743.66801990029,-9.1231939794959107
Total Alkaloids,8739.81108646344,-9.3865256962682722
Total Alkaloids,8735.95415302659,-2.718841228975684
Total Alkaloids,8732.09721958974,-2.1634861092144306
Total Alkaloids,8728.2402861529,-2.1566671988149646
Total Alkaloids,8724.38335271605,2.2052822575121103
Total Alkaloids,8720.5264192792,11.344226459760314
Total Alkaloids,8716.66948584235,4.407590213151134
Total Alkaloids,8712.81255240551,-2.7490512558727715
Total Alkaloids,8708.95561896866,0.16622620302663724
Total Alkaloids,8705.09868553181,-4.0331404172008662
Total Alkaloids,8701.24175209497,-22.526380542203665
Total Alkaloids,8697.38481865812,-18.17580191310968
Total Alkaloids,8693.52788522127,1.959783587613618
Total Alkaloids,8689.67095178442,11.55833764781803
Total Alkaloids,8685.81401834758,9.1308210076472882
Total Alkaloids,8681.95708491073,15.625800677914315
Total Alkaloids,8678.10015147388,22.127520554764519
Total Alkaloids,8674.24321803703,5.1482425028511756
Total Alkaloids,8670.38628460019,-13.913429088525282
Total Alkaloids,8666.52935116334,-17.022210174282169
Total Alkaloids,8662.67241772649,9.2348735986710615
Total Alkaloids,8658.81548428965,17.802615638873064
Total Alkaloids,8654.9585508528,1.6260581500250622
Total Alkaloids,8651.10161741595,-2.579032093993622
Total Alkaloids,8647.2446839791,-1.4309944777895902
Total Alkaloids,8643.38775054226,9.7391556372326331
Total Alkaloids,8639.53081710541,21.177731215241714
Total Alkaloids,8635.67388366856,23.537893029768576
Total Alkaloids,8631.81695023171,9.4771610140912657
Total Alkaloids,8627.96001679487,9.6049868273859111
Total Alkaloids,8624.10308335802,4.8794398025646686
Total Alkaloids,8620.24614992117,-1.1591504497749614
Total Alkaloids,8616.38921648433,8.6362466053743532
Total Alkaloids,8612.53228304748,7.0517808630099754
Total Alkaloids,8608.67534961063,-1.6606301713572744
Total Alkaloids,8604.81841617378,-7.92529093825312
Total Alkaloids,8600.96148273694,-6.2516932792127937
Total Alkaloids,8597.10454930009,-5.9392805560362349
Total Alkaloids,8593.24761586324,-15.041133590471169
Total Alkaloids,8589.39068242639,-18.223455637822418
Total Alkaloids,8585.53374898955,-3.8377508641041498
Total Alkaloids,8581.6768155527,0.88292235882758741
Total Alkaloids,8577.81988211585,-12.135957144524236
Total Alkaloids,8573.96294867901,-20.817933881325171
Total Alkaloids,8570.10601524216,-7.6424213335464941
Total Alkaloids,8566.24908180531,0.65086103113339167
Total Alkaloids,8562.39214836846,-12.114066999382649
Total Alkaloids,8558.53521493162,-12.05368853745404
Total Alkaloids,8554.67828149477,-6.3101069989717917
Total Alkaloids,8550.82134805792,-2.3724597047945073
Total Alkaloids,8546.96441462107,1.9757090242951136
Total Alkaloids,8543.10748118423,-7.1023471633286404
Total Alkaloids,8539.25054774738,-9.6998213471425903
Total Alkaloids,8535.39361431053,-5.0703295559230517
Total Alkaloids,8531.53668087368,-14.219330070087652
Total Alkaloids,8527.67974743684,-11.415728537902353
Total Alkaloids,8523.82281399999,-0.47738472430171663
Total Alkaloids,8519.96588056314,7.5509488658102226
Total Alkaloids,8516.1089471263,-6.1524806821838762
Total Alkaloids,8512.25201368945,-1.408617795015682
Total Alkaloids,8508.3950802526,5.5236884168887492
Total Alkaloids,8504.53814681575,-8.2491507026294197
Total Alkaloids,8500.68121337891,-8.2507259365411834
Total Alkaloids,8496.82427994206,-5.8680153674894795
Total Alkaloids,8492.96734650521,-12.077237154776656
Total Alkaloids,8489.11041306836,-5.6060688210621956
Total Alkaloids,8485.25347963152,-0.28081908808598227
Total Alkaloids,8481.39654619467,1.0437346489998822
Total Alkaloids,8477.53961275782,-3.9089754610404457
Total Alkaloids,8473.68267932098,-1.2839506350070322
Total Alkaloids,8469.82574588413,1.8033894286271195
Total Alkaloids,8465.96881244728,0.88934231357778826
Total Alkaloids,8462.11187901043,0.3045532112979516
Total Alkaloids,8458.25494557359,-9.8149316207272772
Total Alkaloids,8454.39801213674,-6.487428495093404
Total Alkaloids,8450.54107869989,-6.4729349139474639
Total Alkaloids,8446.68414526304,-1.2354519451066357
Total Alkaloids,8442.8272118262,11.374851706057809
Total Alkaloids,8438.97027838935,4.6531962800295865
Total Alkaloids,8435.1133449525,-9.1991209415059139
Total Alkaloids,8431.25641151566,-0.06574168542339684
Total Alkaloids,8427.39947807881,2.1072244563078293
Total Alkaloids,8423.54254464196,1.9098689207609576
Total Alkaloids,8419.68561120511,11.802951261026307
Total Alkaloids,8415.82867776827,29.820865663501728
Total Alkaloids,8411.97174433142,10.627433890606586
Total Alkaloids,8408.11481089457,-11.841441087800707
Total Alkaloids,8404.25787745772,-21.638688216716808
Total Alkaloids,8400.40094402088,-14.840867955852783
Total Alkaloids,8396.54401058403,0.24422599533338227
Total Alkaloids,8392.68707714718,12.154871554363574
Total Alkaloids,8388.83014371034,-3.8405600106451563
Total Alkaloids,8384.97321027349,-9.9492547408688043
Total Alkaloids,8381.11627683664,-5.7058073715408968
Total Alkaloids,8377.25934339979,-7.3357837790490921
Total Alkaloids,8373.40240996295,-4.3825084993683046
Total Alkaloids,8369.5454765261,6.3853611288293051
Total Alkaloids,8365.68854308925,1.6092666139393359
Total Alkaloids,8361.8316096524,4.6982078811468213
Total Alkaloids,8357.97467621556,17.969498788917683
Total Alkaloids,8354.11774277871,12.87222209720149
Total Alkaloids,8350.26080934186,-0.58614047816068571
Total Alkaloids,8346.40387590502,-1.1764605035795122
Total Alkaloids,8342.54694246817,1.8055626062527892
Total Alkaloids,8338.69000903132,17.025331632954646
Total Alkaloids,8334.83307559447,28.173986831089838
Total Alkaloids,8330.97614215763,10.103823836262789
Total Alkaloids,8327.11920872078,2.7470789531377555
Total Alkaloids,8323.26227528393,20.493268539611481
Total Alkaloids,8319.40534184708,16.007665013885013
Total Alkaloids,8315.54840841024,5.6958380720956772
Total Alkaloids,8311.69147497339,-5.0258611690193451
Total Alkaloids,8307.83454153654,-11.287688988859445
Total Alkaloids,8303.97760809969,-8.638195390659023
Total Alkaloids,8300.12067466285,-9.5974340855475369
