sample,score_distance,x_reconstruction_residual
1,9.3595943783641271,0.032327083556638436
2,6.8950107727229391,0.038699645228008991
3,23.031291120298231,0.11190405584581484
4,23.321493620274719,0.010380114486987342
5,17.358125280035257,0.072035100877632041
6,20.382947978595858,0.093368663295569865
7,11.427490633944188,0.026566905822418808
8,14.845234046236362,0.024676842506585958
9,6.6827645527139641,0.18725829221908991
10,6.8253331241377824,0.050312404305605157
11,6.4808348766844208,0.033312726656663627
12,3.3994188125818017,0.0077404146551761791
13,8.182755955050828,0.025034027029236194
14,4.5165738471868426,0.019203434701835886
15,7.5052864428543744,0.013826003151148451
16,7.6657328640836138,0.032315739144842287
17,10.885413412029488,0.095800746711933324
18,6.7822189541022606,0.17693143364016548
19,4.1548065903555802,0.063486212641512274
20,1.371044667063696,0.011339493803831951
21,5.0194987272743115,0.0048415882137503715
22,11.793399491604108,0.041477025874399345
23,2.8060976741569075,0.0061964812090547607
24,7.7798310170282612,0.006217662336436702
25,6.178653711672963,0.082836418707401896
26,7.9730868488353721,0.02718312545477641
27,1.8945018597786716,0.017997934337503033
28,4.0104054856011242,0.090553980132921999
29,4.0463250083170257,0.045131053675050353
30,3.1600458823417998,0.058591508219870886
31,7.7357797829873345,0.084797002349346895
32,3.4108418609956654,0.28354327624335707
33,3.5172374362411718,0.04930017159547808
34,8.2543516316867649,0.0021144057757859777
35,10.363935111822748,0.01221765015167852
36,7.8404946051735465,0.083796397475784712
37,9.6566458907218067,0.029034207531969409
38,3.9313789459362205,0.029948772426365081
39,1.347883323864344,0.15144500526433205
40,4.3985752394992561,0.022070042678543761
41,5.2310141586850891,0.00261702320892557
42,10.118735967187446,0.034997853674068782
43,3.0788055368735683,0.012603271129915562
44,6.1838519827449909,0.007956914558246795
45,11.010547251368237,0.035891525998931355
46,10.060737578186236,0.0034000213231680887
47,4.2026815894223999,0.038909323101040456
48,6.3279590966562349,0.010066108159720095
49,8.4089430426186205,0.1242711142217387
50,7.0970571835113194,0.014475515204651757
51,11.912843968265838,0.0084242087434313363
52,10.048349351625308,0.014729991553632971
53,7.8914713160636172,0.039738544670126538
54,3.7349389922488001,0.15455569467650687
55,8.7942598001569809,0.031923733001825647
56,8.0076600213630567,0.0020123195079616634
57,7.6314120826866612,0.051330445265173275
58,5.5745615233979198,0.04733409993636091
59,8.1795228511137612,0.0185023948660391
60,5.4191274036083614,0.027861669239880982
61,3.9934160568341652,0.04423103158397769
62,8.4136771789476832,0.45230229921759868
63,4.3894637058644559,0.0043913250570166776
64,8.5312627223625697,0.20381594393679456
65,9.8159351500900467,0.069305017585029161
66,5.7612737590614476,0.11356026309594504
67,4.7325123506074842,0.015731989084966862
68,4.6843641615029226,0.1068925438933595
69,5.6240911875287498,0.034912130667782523
70,5.0087050925357097,0.021986591272484906
71,4.1328242219777138,0.008708347667221953
72,5.7862043544140995,0.015430730368829254
73,3.7516815560484416,0.04690843987026181
74,3.3590374339131008,0.12642047086852182
75,3.1377126585851705,0.033185743767687716
76,2.4060801134460146,0.029069639706263684
77,3.5987861586338461,0.1709287335648591
78,4.0093490782672143,0.015009709007372207
79,3.4176934305241029,0.039464405236670427
80,7.1943768800265531,0.0012301509982109145
81,6.2627058420367447,0.065647090088503307
82,4.2386227065547324,0.017506572961282087
83,3.4191616434238501,0.0034718259544424357
84,5.2284488764298453,0.0013634836430463692
85,5.2337776532365696,0.020115841553853937
86,3.8353723487574163,0.011593369431262771
87,9.8133308744969465,0.022557344872451653
88,9.8493804133465233,0.0043518024285029069
89,9.7833762763308965,0.037930230797180595
90,6.6574124341174477,0.068480596499498739
91,9.4739681987697999,0.012244239467738512
92,5.2982760010462862,0.053959976967009188
93,4.7655457430460819,0.0023280638441781089
94,6.402929703521453,0.048641553893405368
95,4.1038427352918623,0.053458050370929044
96,4.903589345324594,0.010178492005402086
97,5.9748807377245789,0.013870217565554108
98,5.6008547277434433,0.011086937810081934
99,5.4959523770876855,0.084936566268239685
100,5.6295679061194157,0.052079889653416707
101,2.7221504763143018,0.11944124453360602
102,30.951905545526223,0.54994955505582199
103,5.344410695139489,0.10278404287260859
104,7.7787494351043147,0.075764298598548663
105,3.0628282095638304,0.026640393256005264
106,9.0312977866644122,0.050320313865726336
107,8.3287824687773444,0.013597362622069951
108,8.8404858056405544,0.027566656452969102
109,5.4473690629573017,0.030311638256175721
110,5.0637342629564852,0.013556459641887052
111,5.6877551329139413,0.025229071685867029
112,4.2861829730245109,0.27354019249383921
113,4.6141099969929762,0.22834999244994483
114,6.2054698858668029,0.10981504963411945
115,3.5722448562951441,0.058249333455404999
116,1.8680768722726706,0.014643719816122235
117,14.204776044417184,0.063572291035142448
118,3.76327863341288,0.021729896760722515
119,2.233320973364052,0.052159601379692243
120,3.438406404048854,0.14011707598665171
121,6.6926479063572444,0.017389646986205869
122,4.8487658754359435,0.065875331088738942
123,2.4782991677353703,0.022243743058980709
124,6.1535507224009169,0.1648951978139627
125,3.8625568136881498,0.22080600655251437
126,6.3650257898094029,0.090186915176310126
127,7.8917977936201575,0.077722911083440691
128,12.349456179480256,0.014678218219829313
129,2.5559343195690691,0.036268818085197059
130,2.133252844294927,0.25489217737291231
131,4.2772134757009947,0.014674309668379164
132,7.4832716077226138,0.13280596022210625
133,10.277374420390476,0.11486109890632887
134,1.6190966109665588,0.4319336485317492
135,11.233806437593206,0.033556918158277278
136,9.8162266389228137,0.010665920508472877
137,17.386207901106861,0.10115763232459772
138,3.6787118779599979,0.0011655024207973738
139,2.2421613264451095,0.059191111045466864
140,12.706501420770433,0.049264600311113071
141,4.9374311998331528,0.03384801398662763
142,5.9733352354759051,0.043605762268498771
143,17.350582907557094,0.023332263537117759
144,3.5996627407114108,0.10171540268666651
145,9.9090713667780612,0.12586174498061711
146,4.5205991218127757,0.20225018860205662
147,3.2830016032294544,0.42706732878170822
148,5.9680430824233319,0.077585171466299452
149,24.048221557303076,0.054787504703611524
150,28.190561382429166,0.0137044976971522
151,9.2147599749008666,0.059909219268018017
152,6.9095031391926671,0.047164236062043778
153,3.8885175722434111,0.16382305783242837
154,4.2788141347811743,0.096371012792630606
155,6.8478816818814598,0.16341665103624134
156,8.1929068734679813,0.085596927537639575
157,10.604733444245179,0.2251750827757058
158,12.909440167714921,0.08147899084238848
159,10.496184104438566,0.089979262950373715
160,10.129379997592251,0.032355523701644635
161,7.4119908254911326,0.12694954996297997
162,2.7573956140635474,0.13528860294106959
163,9.357886637673138,0.05180109017515018
164,3.289376238991903,0.07366727018181686
165,11.068731228645582,0.051555827888716294
166,11.877103036181303,0.015743794218514646
167,6.2994763565775056,0.016980262398676602
168,4.9866261583526601,0.040249990526731547
169,9.7891532219178394,0.034926808738404785
170,6.2424085856235516,0.021868630367506744
171,3.9404180026329509,0.019156039302078098
172,5.039540947587704,0.091887552629462785
173,2.8841764106768379,0.0982980787372051
174,7.332758089252815,0.19293390227493323
175,3.2356087650284229,0.032934116444658948
176,4.9925399064319977,0.039502000005151347
177,5.7593653051533575,0.12242301198742264
178,2.0064213502134898,0.014452635197306869
179,6.9431616906340805,0.0071282647753582477
180,15.469707829490446,0.024481586436419012
181,6.9356602765705144,0.10914595644493755
182,6.8026613001410015,0.17366432670596574
183,7.4214290766748592,0.24746432871233673
184,4.2344158306862685,0.18123156808910323
185,6.0211425057060808,0.015022535992945533
186,8.9005802110983758,0.029051857908466667
187,4.9355901424406081,0.042351523224120752
188,8.086943125490297,0.018162411532614695
189,5.93753785560311,0.058945943406700035
190,6.5834881743555274,0.0036178275270398715
191,7.9220445022370569,0.0029006669612288098
192,5.1651068817609218,0.038782716902785813
193,6.2428839453665539,0.2933730269131905
194,4.7082746814227461,0.071411191161963233
195,4.8593775998089646,0.22933686386226793
196,5.6331777182475147,0.10845119827348976
197,3.3018261603536203,0.13142007231046565
198,5.7922563789770596,0.39123023785729466
199,8.3709200486975011,0.0057886117746993775
200,7.1231374556180089,0.027331532197276319
201,4.9939288071526136,0.036702622127845669
202,3.3399198074799474,0.0035659017340817362
203,23.953232704182618,0.011589223216519782
204,4.6421657424019687,0.017354339784169979
205,5.3071683677780506,0.0041115790871554918
206,7.9174235896834206,0.0051869629937517743
207,7.1960142575425738,0.22060705800440297
208,6.901534324961613,0.027767181048188826
209,1.6533699438211482,0.018226135936821597
210,3.7894614652684515,0.0031188872981154983
211,11.71927811679274,0.018717102907470355
212,1.8099632386599378,0.026976241000849315
213,4.5555081594550861,0.069050760513538534
214,6.5835755993778946,0.20671280915244394
215,7.3767040388327949,0.18468238923203978
216,4.7624039229998711,0.20878883890709277
217,6.2403865493809088,0.044547615378047675
218,1.530149184104437,0.12490432274178233
219,5.8085075193308775,0.363474693623629
220,7.2774195604058303,0.056159823582554599
221,5.5267997968249105,0.13318351670079193
222,5.0465931969250413,0.027702721117377645
223,9.444682780769206,0.040688502518792011
224,7.9262203517914225,0.13449938138448614
225,5.1845215985937685,0.11924411509153518
226,6.9359079893503814,0.082655189314520039
227,5.475802640595715,0.068713604222803662
228,6.9686356431210257,0.046871711096562935
229,2.239570276239407,0.005004489538552215
230,6.9945979500942137,0.056340851837911418
231,6.3913860896937198,0.0026872543010543334
232,5.4578005998706614,0.011469259396048448
233,4.2267697594386391,0.11626093043820915
234,8.8440616570658435,0.029323482470271341
235,5.4284797423837272,0.0055554031542171204
236,5.0428823964979914,0.038256132680268021
237,4.2690498484641095,0.042838970247326913
238,12.734601534054278,0.018740099723289848
239,7.0534221560427497,0.014993858847356318
240,13.408249189499726,0.084582721832474367
241,10.077581991912899,0.12616447864154279
242,10.75144297305957,0.020841379608766322
243,5.9444805038928656,0.035935000926947631
