predictor,component,loading
10001.0283203125,1,-1.9677618665696426
9997.17138687565,1,-1.9838289398563032
9993.31445343881,1,-1.9934459575084893
9989.45752000196,1,-2.0139709487586397
9985.60058656511,1,-2.0418273626770445
9981.74365312826,1,-2.050439817585632
9977.88671969142,1,-2.0533850204717345
9974.02978625457,1,-2.0704575434102384
9970.17285281772,1,-2.0875717592255665
9966.31591938088,1,-2.1004871451838572
9962.45898594403,1,-2.1142500866603662
9958.60205250718,1,-2.1244784863314545
9954.74511907033,1,-2.1424441203119349
9950.88818563349,1,-2.1583523569534897
9947.03125219664,1,-2.1709795966022587
9943.17431875979,1,-2.1785022332987296
9939.31738532294,1,-2.1829033713674457
9935.4604518861,1,-2.201828716038873
9931.60351844925,1,-2.2148162715117854
9927.7465850124,1,-2.2222789270158096
9923.88965157556,1,-2.2366190850008763
9920.03271813871,1,-2.2552454079961923
9916.17578470186,1,-2.2673117367789848
9912.31885126501,1,-2.2729971126472361
9908.46191782817,1,-2.2800283275145756
9904.60498439132,1,-2.2869484854480575
9900.74805095447,1,-2.2981623737866284
9896.89111751762,1,-2.3198548549164109
9893.03418408078,1,-2.3349100881766982
9889.17725064393,1,-2.346495483929095
9885.32031720708,1,-2.359845039770442
9881.46338377024,1,-2.3726809858099553
9877.60645033339,1,-2.3907836196437557
9873.74951689654,1,-2.4022318423906084
9869.89258345969,1,-2.4003657787611923
9866.03565002284,1,-2.4106132087453318
9862.178716586,1,-2.4229855208342639
9858.32178314915,1,-2.4333567129000686
9854.4648497123,1,-2.445440089288025
9850.60791627546,1,-2.4530375262587518
9846.75098283861,1,-2.4592330941507998
9842.89404940176,1,-2.4797410209473734
9839.03711596492,1,-2.494935177060603
9835.18018252807,1,-2.5031489107719156
9831.32324909122,1,-2.5181385432931158
9827.46631565437,1,-2.5317946816589734
9823.60938221752,1,-2.5429314226436928
9819.75244878068,1,-2.556934136474005
9815.89551534383,1,-2.5628955515043694
9812.03858190698,1,-2.5690263660757533
9808.18164847014,1,-2.587748924928694
9804.32471503329,1,-2.6019348054168061
9800.46778159644,1,-2.6103384623230217
9796.6108481596,1,-2.6226672269597389
9792.75391472275,1,-2.6358383928260936
9788.8969812859,1,-2.6499900800930081
9785.04004784905,1,-2.6727888010421545
9781.1831144122,1,-2.6813845907682627
9777.32618097536,1,-2.6931390192957974
9773.46924753851,1,-2.7125084442087912
9769.61231410166,1,-2.721297523573504
9765.75538066482,1,-2.7229403945681483
9761.89844722797,1,-2.7307630810180585
