n_components,algorithm,response_standardized_cv_mse_mean,response_standardized_cv_mse_fold_sd,n_splits
1,NIPALS,1.2016054018338387,0.8409454425298764,5
2,NIPALS,1.5436523003525922,1.076819902508797,5
3,NIPALS,0.6600658776522297,0.5436917810356268,5
4,NIPALS,0.6818570882676687,0.4727627510164972,5
5,NIPALS,0.46446384394281326,0.23742971572668214,5
6,NIPALS,0.4563863861965947,0.22900364667885745,5
7,NIPALS,0.4081525402703461,0.21015028556026288,5
8,NIPALS,0.3698093562253728,0.16650077713543263,5
