n_components,algorithm,response_standardized_cv_mse_mean,response_standardized_cv_mse_fold_sd,n_splits
1,NIPALS,0.538964014166591,0.12577390173736214,5
2,NIPALS,0.5090625128444365,0.13623484102581498,5
3,NIPALS,0.571527812180947,0.22430433726982996,5
4,NIPALS,0.4845019843830494,0.15640595681507682,5
